store_nbr,city,state,latitude,longitude
1,New York,NY,40.7128,-74.006
2,Los Angeles,CA,34.0522,-118.2437
3,Chicago,IL,41.8781,-87.6298
4,Houston,TX,29.7604,-95.3698
5,Phoenix,AZ,33.4484,-112.074
6,Philadelphia,PA,39.9526,-75.1652
7,San Antonio,TX,29.4241,-98.4936
8,San Diego,CA,32.7157,-117.1611
9,Dallas,TX,32.7767,-96.797
10,San Jose,CA,37.3382,-121.8863
11,Austin,TX,30.2672,-97.7431
12,Jacksonville,FL,30.3322,-81.6557
13,Fort Worth,TX,32.7555,-97.3308
14,Columbus,OH,39.9612,-82.9988
15,Charlotte,NC,35.2271,-80.8431
16,San Francisco,CA,37.7749,-122.4194
17,Indianapolis,IN,39.7684,-86.1581
18,Seattle,WA,47.6062,-122.3321
19,Denver,CO,39.7392,-104.9903
20,Washington,DC,38.9072,-77.0369
